ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776929891.434920160,tbench-fr-server,69.77,9.902MiB,1.93,341MB,336MB
1776929891.434920160,tbench-fr-client,102.49,20.59MiB,0.13,700MB,696MB
1776929891.434920160,tbench-fr-probe,6.48,5.066MiB,0.03,227kB,700MB
1776929891.434920160,tbench-fr-origin,17.49,1.336MiB,0.01,695MB,1.27MB
1776929894.989609307,tbench-fr-server,76.43,11.77MiB,2.30,1.58GB,1.58GB
1776929894.989609307,tbench-fr-client,101.40,20.73MiB,0.13,1.95GB,1.94GB
1776929894.989609307,tbench-fr-probe,6.07,4.164MiB,0.03,615kB,1.94GB
1776929894.989609307,tbench-fr-origin,17.05,1.117MiB,0.01,1.93GB,3.51MB
1776929898.552124603,tbench-fr-server,75.71,13.16MiB,2.57,3.24GB,3.24GB
1776929898.552124603,tbench-fr-client,102.49,22.95MiB,0.14,2.87GB,2.86GB
1776929898.552124603,tbench-fr-probe,6.59,5.238MiB,0.03,1.02MB,3.22GB
1776929898.552124603,tbench-fr-origin,17.48,1.336MiB,0.01,3.22GB,5.86MB
1776929902.115493246,tbench-fr-server,75.83,13.34MiB,2.61,4.1GB,4.11GB
1776929902.115493246,tbench-fr-client,103.96,26.04MiB,0.16,4.45GB,4.43GB
1776929902.115493246,tbench-fr-probe,6.34,4.766MiB,0.03,1.4MB,4.42GB
1776929902.115493246,tbench-fr-origin,17.47,1.555MiB,0.01,4.42GB,8.01MB
1776929905.677333658,tbench-fr-server,74.70,13.54MiB,2.64,5.68GB,5.69GB
1776929905.677333658,tbench-fr-client,102.43,26.03MiB,0.16,5.7GB,5.68GB
1776929905.677333658,tbench-fr-probe,6.29,4.656MiB,0.03,1.68MB,5.31GB
1776929905.677333658,tbench-fr-origin,17.09,1.121MiB,0.01,5.66GB,10.3MB
1776929909.235511532,tbench-fr-server,75.83,13.66MiB,2.67,6.92GB,6.94GB
1776929909.235511532,tbench-fr-client,103.55,26.39MiB,0.17,6.62GB,6.59GB
1776929909.235511532,tbench-fr-probe,6.52,5.074MiB,0.03,2.07MB,6.57GB
1776929909.235511532,tbench-fr-origin,17.02,1.125MiB,0.01,6.89GB,12.5MB
1776929912.804764812,tbench-fr-server,75.46,13.59MiB,2.65,8.1GB,8.13GB
1776929912.804764812,tbench-fr-client,101.09,21.25MiB,0.13,8.14GB,8.1GB
1776929912.804764812,tbench-fr-probe,6.29,4.859MiB,0.03,2.53MB,8.07GB
1776929912.804764812,tbench-fr-origin,17.65,1.555MiB,0.01,7.75GB,14MB
1776929916.370613303,tbench-fr-server,74.54,13.3MiB,2.60,9.34GB,9.37GB
1776929916.370613303,tbench-fr-client,101.64,20.79MiB,0.13,9.03GB,8.99GB
1776929916.370613303,tbench-fr-probe,6.08,5.555MiB,0.03,2.94MB,9.31GB
1776929916.370613303,tbench-fr-origin,16.69,1.625MiB,0.01,9.31GB,16.9MB
1776929919.935880594,tbench-fr-server,74.90,13.4MiB,2.62,10.6GB,10.6GB
1776929919.935880594,tbench-fr-client,101.96,21.12MiB,0.13,10.6GB,10.6GB
1776929919.935880594,tbench-fr-probe,6.44,4.906MiB,0.03,3.32MB,10.6GB
1776929919.935880594,tbench-fr-origin,17.37,1.344MiB,0.01,10.2GB,18.5MB
1776929923.501626660,tbench-fr-server,75.40,13.21MiB,2.58,11.8GB,11.9GB
1776929923.501626660,tbench-fr-client,103.59,20.91MiB,0.13,11.9GB,11.8GB
1776929923.501626660,tbench-fr-probe,6.54,4.441MiB,0.03,3.71MB,11.8GB
1776929923.501626660,tbench-fr-origin,17.38,1.379MiB,0.01,11.4GB,20.8MB
1776929927.067699191,tbench-fr-server,74.66,13.57MiB,2.65,12.7GB,12.8GB
1776929927.067699191,tbench-fr-client,101.52,21.28MiB,0.13,12.8GB,12.7GB
1776929927.067699191,tbench-fr-probe,7.38,5.332MiB,0.03,3.99MB,12.7GB
1776929927.067699191,tbench-fr-origin,17.28,1.129MiB,0.01,13GB,23.7MB
1776929930.628279787,tbench-fr-server,74.28,13.45MiB,2.63,14.3GB,14.3GB
1776929930.628279787,tbench-fr-client,100.61,21.06MiB,0.13,14.4GB,14.3GB
1776929930.628279787,tbench-fr-probe,6.12,5.328MiB,0.03,4.48MB,14.2GB
1776929930.628279787,tbench-fr-origin,17.00,1.566MiB,0.01,13.9GB,25.3MB
