ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930134.452034944,tbench-ra-server,28.38,5.227MiB,1.02,796MB,794MB
1776930134.452034944,tbench-ra-client,59.87,2.969MiB,0.02,370MB,371MB
1776930134.452034944,tbench-ra-probe,8.30,4.379MiB,0.03,491kB,797MB
1776930134.452034944,tbench-ra-origin,50.97,1.137MiB,0.01,804MB,9.27MB
1776930138.010903073,tbench-ra-server,28.88,4.93MiB,0.96,2.24GB,2.24GB
1776930138.010903073,tbench-ra-client,65.99,2.824MiB,0.02,2.26GB,2.27GB
1776930138.010903073,tbench-ra-probe,8.24,3.84MiB,0.02,1.38MB,2.24GB
1776930138.010903073,tbench-ra-origin,50.52,1.621MiB,0.01,1.88GB,21.7MB
1776930141.564153882,tbench-ra-server,30.91,5.273MiB,1.03,3.58GB,3.57GB
1776930141.564153882,tbench-ra-client,65.90,2.773MiB,0.02,3.61GB,3.62GB
1776930141.564153882,tbench-ra-probe,7.70,4.168MiB,0.03,2.19MB,3.57GB
1776930141.564153882,tbench-ra-origin,50.92,1.613MiB,0.01,3.28GB,38.1MB
1776930145.123666618,tbench-ra-server,28.25,4.844MiB,0.95,4.59GB,4.58GB
1776930145.123666618,tbench-ra-client,65.88,3.254MiB,0.02,5.03GB,5.04GB
1776930145.123666618,tbench-ra-probe,7.58,4.383MiB,0.03,3.04MB,4.98GB
1776930145.123666618,tbench-ra-origin,51.13,1.125MiB,0.01,5.04GB,58.7MB
1776930148.681987636,tbench-ra-server,28.59,4.93MiB,0.96,6.46GB,6.45GB
1776930148.681987636,tbench-ra-client,65.91,3.02MiB,0.02,6.52GB,6.54GB
1776930148.681987636,tbench-ra-probe,7.67,3.992MiB,0.02,3.94MB,6.45GB
1776930148.681987636,tbench-ra-origin,51.80,1.465MiB,0.01,6.11GB,71.3MB
1776930152.240943968,tbench-ra-server,27.47,4.762MiB,0.93,7.47GB,7.47GB
1776930152.240943968,tbench-ra-client,66.00,2.797MiB,0.02,7.96GB,7.98GB
1776930152.240943968,tbench-ra-probe,7.58,4.332MiB,0.03,4.82MB,7.87GB
1776930152.240943968,tbench-ra-origin,51.15,1.141MiB,0.01,7.97GB,93.2MB
1776930155.797435722,tbench-ra-server,27.75,5.191MiB,1.01,9.31GB,9.31GB
1776930155.797435722,tbench-ra-client,66.26,2.988MiB,0.02,9.41GB,9.43GB
1776930155.797435722,tbench-ra-probe,7.51,3.781MiB,0.02,5.69MB,9.3GB
1776930155.797435722,tbench-ra-origin,51.21,1.648MiB,0.01,9GB,105MB
1776930159.357056529,tbench-ra-server,27.60,5.062MiB,0.99,10.7GB,10.7GB
1776930159.357056529,tbench-ra-client,65.53,2.789MiB,0.02,10.8GB,10.8GB
1776930159.357056529,tbench-ra-probe,7.50,4.684MiB,0.03,6.52MB,10.7GB
1776930159.357056529,tbench-ra-origin,50.27,1.617MiB,0.01,10.4GB,122MB
1776930162.914191828,tbench-ra-server,28.41,5.496MiB,1.07,12GB,12GB
1776930162.914191828,tbench-ra-client,65.63,3.02MiB,0.02,12.2GB,12.2GB
1776930162.914191828,tbench-ra-probe,7.80,4.336MiB,0.03,7.36MB,12GB
1776930162.914191828,tbench-ra-origin,50.87,1.383MiB,0.01,11.8GB,138MB
1776930166.469000513,tbench-ra-server,27.81,5.281MiB,1.03,13.4GB,13.4GB
1776930166.469000513,tbench-ra-client,66.46,2.977MiB,0.02,13.2GB,13.2GB
1776930166.469000513,tbench-ra-probe,8.16,4.039MiB,0.03,8.21MB,13.4GB
1776930166.469000513,tbench-ra-origin,50.91,1.871MiB,0.01,13.6GB,159MB
1776930170.034383360,tbench-ra-server,27.64,4.863MiB,0.95,14.5GB,14.5GB
1776930170.034383360,tbench-ra-client,66.57,2.785MiB,0.02,15.1GB,15.1GB
1776930170.034383360,tbench-ra-probe,8.13,4.172MiB,0.03,9.11MB,14.9GB
1776930170.034383360,tbench-ra-origin,51.37,1.621MiB,0.01,15.1GB,176MB
1776930173.591477241,tbench-ra-server,28.07,4.879MiB,0.95,15.9GB,15.9GB
1776930173.591477241,tbench-ra-client,66.27,3.262MiB,0.02,16.5GB,16.5GB
1776930173.591477241,tbench-ra-probe,7.83,4.684MiB,0.03,9.98MB,16.3GB
1776930173.591477241,tbench-ra-origin,51.01,1.418MiB,0.01,16.5GB,193MB
1776930177.143289048,tbench-ra-server,27.55,4.977MiB,0.97,17.7GB,17.7GB
1776930177.143289048,tbench-ra-client,66.09,2.789MiB,0.02,17.9GB,17.9GB
1776930177.143289048,tbench-ra-probe,7.89,3.871MiB,0.02,10.8MB,17.6GB
1776930177.143289048,tbench-ra-origin,50.42,1.148MiB,0.01,17.5GB,204MB
1776930180.698691787,tbench-ra-server,27.69,4.988MiB,0.97,19.1GB,19GB
1776930180.698691787,tbench-ra-client,66.44,2.789MiB,0.02,19.3GB,19.3GB
1776930180.698691787,tbench-ra-probe,8.35,4.434MiB,0.03,11.7MB,19GB
1776930180.698691787,tbench-ra-origin,51.20,1.867MiB,0.01,18.9GB,221MB
1776930184.255774917,tbench-ra-server,28.25,5.043MiB,0.98,20GB,20GB
1776930184.255774917,tbench-ra-client,66.07,3MiB,0.02,20.6GB,20.7GB
1776930184.255774917,tbench-ra-probe,8.01,3.926MiB,0.02,12.5MB,20.4GB
1776930184.255774917,tbench-ra-origin,50.15,1.391MiB,0.01,20.6GB,241MB
1776930187.816616405,tbench-ra-server,27.44,5.266MiB,1.03,21.7GB,21.7GB
1776930187.816616405,tbench-ra-client,66.50,3.012MiB,0.02,21.6GB,21.6GB
1776930187.816616405,tbench-ra-probe,7.44,4.309MiB,0.03,13.3MB,21.7GB
1776930187.816616405,tbench-ra-origin,50.95,1.383MiB,0.01,22GB,257MB
1776930191.376022312,tbench-ra-server,28.75,4.961MiB,0.97,23.1GB,23.1GB
1776930191.376022312,tbench-ra-client,67.06,2.801MiB,0.02,22.9GB,23GB
1776930191.376022312,tbench-ra-probe,7.79,4.738MiB,0.03,14.2MB,23GB
1776930191.376022312,tbench-ra-origin,51.15,1.16MiB,0.01,23.3GB,273MB
