ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930218.226761652,tbench-b0-probe,71.23,9.906MiB,0.06,7.06MB,6.34GB
1776930218.226761652,tbench-b0-origin,66.86,9.148MiB,0.06,2.96GB,3.36MB
1776930221.782107454,tbench-b0-probe,71.32,10.09MiB,0.06,19.8MB,17.6GB
1776930221.782107454,tbench-b0-origin,70.44,9.133MiB,0.06,14.6GB,16.5MB
1776930225.340188702,tbench-b0-probe,70.77,10.46MiB,0.07,28.4MB,25.5GB
1776930225.340188702,tbench-b0-origin,63.11,9.691MiB,0.06,28.3GB,31.7MB
1776930228.889773458,tbench-b0-probe,71.13,10.41MiB,0.07,44.6MB,39.5GB
1776930228.889773458,tbench-b0-origin,70.43,9.465MiB,0.06,36.2GB,40.7MB
1776930232.438824737,tbench-b0-probe,70.95,10.66MiB,0.07,57.7MB,51.2GB
1776930232.438824737,tbench-b0-origin,69.91,9.328MiB,0.06,48GB,54.1MB
1776930235.994481337,tbench-b0-probe,71.58,10.91MiB,0.07,70.7MB,62.8GB
1776930235.994481337,tbench-b0-origin,70.16,9.613MiB,0.06,59.4GB,66.9MB
1776930239.544036447,tbench-b0-probe,71.26,10.86MiB,0.07,80.2MB,71.1GB
1776930239.544036447,tbench-b0-origin,70.12,9.855MiB,0.06,74.4GB,83.9MB
1776930243.093148401,tbench-b0-probe,70.97,11.3MiB,0.07,95.6MB,85GB
1776930243.093148401,tbench-b0-origin,70.39,9.445MiB,0.06,82.2GB,92.6MB
1776930246.647182269,tbench-b0-probe,70.97,11.74MiB,0.07,108MB,96GB
1776930246.647182269,tbench-b0-origin,70.12,9.859MiB,0.06,92.6GB,104MB
1776930250.198599629,tbench-b0-probe,70.75,12.07MiB,0.08,120MB,107GB
1776930250.198599629,tbench-b0-origin,69.94,9.527MiB,0.06,104GB,117MB
1776930253.751421836,tbench-b0-probe,71.63,11.99MiB,0.08,133MB,119GB
1776930253.751421836,tbench-b0-origin,69.74,10.01MiB,0.06,116GB,130MB
1776930257.301123881,tbench-b0-probe,71.30,12.18MiB,0.08,145MB,130GB
1776930257.301123881,tbench-b0-origin,70.12,10.29MiB,0.06,127GB,142MB
1776930260.851669465,tbench-b0-probe,71.16,12.43MiB,0.08,155MB,138GB
1776930260.851669465,tbench-b0-origin,69.89,10.04MiB,0.06,141GB,158MB
1776930264.403479060,tbench-b0-probe,70.91,12.76MiB,0.08,171MB,153GB
1776930264.403479060,tbench-b0-origin,69.75,10.27MiB,0.06,149GB,167MB
1776930267.959661261,tbench-b0-probe,70.99,12.63MiB,0.08,180MB,161GB
1776930267.959661261,tbench-b0-origin,69.85,9.988MiB,0.06,161GB,180MB
1776930270.513908024,tbench-b0-probe,71.38,13.45MiB,0.08,193MB,173GB
1776930270.513908024,tbench-b0-origin,70.04,10.33MiB,0.06,169GB,189MB
1776930274.065177854,tbench-b0-probe,70.56,13.2MiB,0.08,206MB,184GB
1776930274.065177854,tbench-b0-origin,69.44,9.992MiB,0.06,181GB,202MB
