ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930461.422188294,tbench-ch-server,69.69,112.7MiB,22.01,405MB,299MB
1776930461.422188294,tbench-ch-client,192.79,12.84MiB,0.08,644MB,643MB
1776930461.422188294,tbench-ch-probe,9.16,111.4MiB,0.70,383kB,747MB
1776930461.422188294,tbench-ch-origin,27.69,9.336MiB,0.06,297MB,612kB
1776930464.986199530,tbench-ch-server,72.90,117.3MiB,22.90,1.97GB,1.86GB
1776930464.986199530,tbench-ch-client,190.62,13.82MiB,0.09,1.86GB,1.86GB
1776930464.986199530,tbench-ch-probe,8.93,113.6MiB,0.71,951kB,1.96GB
1776930464.986199530,tbench-ch-origin,26.50,9.559MiB,0.06,1.5GB,3.03MB
1776930468.550042024,tbench-ch-server,71.98,116.8MiB,22.80,2.82GB,2.72GB
1776930468.550042024,tbench-ch-client,192.26,13.63MiB,0.09,3.07GB,3.07GB
1776930468.550042024,tbench-ch-probe,8.53,110.7MiB,0.69,1.52MB,3.17GB
1776930468.550042024,tbench-ch-origin,26.87,9.266MiB,0.06,3.06GB,6.16MB
1776930472.114109774,tbench-ch-server,74.29,116.2MiB,22.69,4.32GB,4.22GB
1776930472.114109774,tbench-ch-client,194.65,13.23MiB,0.08,3.91GB,3.91GB
1776930472.114109774,tbench-ch-probe,8.66,114.8MiB,0.72,2.06MB,4.32GB
1776930472.114109774,tbench-ch-origin,26.97,9.266MiB,0.06,4.21GB,8.47MB
1776930475.683077014,tbench-ch-server,71.44,117MiB,22.85,5.49GB,5.38GB
1776930475.683077014,tbench-ch-client,192.74,13.49MiB,0.08,5.39GB,5.38GB
1776930475.683077014,tbench-ch-probe,8.62,113.2MiB,0.71,2.6MB,5.48GB
1776930475.683077014,tbench-ch-origin,26.37,9.656MiB,0.06,5.03GB,10.1MB
1776930479.253999629,tbench-ch-server,72.38,116.7MiB,22.79,6.67GB,6.56GB
1776930479.253999629,tbench-ch-client,191.51,12.63MiB,0.08,6.57GB,6.57GB
1776930479.253999629,tbench-ch-probe,8.58,110MiB,0.69,3.16MB,6.66GB
1776930479.253999629,tbench-ch-origin,26.36,9.762MiB,0.06,6.22GB,12.5MB
1776930482.827054273,tbench-ch-server,72.44,116.4MiB,22.73,7.88GB,7.77GB
1776930482.827054273,tbench-ch-client,193.26,13.24MiB,0.08,7.44GB,7.43GB
1776930482.827054273,tbench-ch-probe,8.67,114.2MiB,0.71,3.72MB,7.86GB
1776930482.827054273,tbench-ch-origin,26.42,9.645MiB,0.06,7.76GB,15.6MB
1776930486.396900809,tbench-ch-server,73.65,116.5MiB,22.75,8.98GB,8.88GB
1776930486.396900809,tbench-ch-client,193.96,13.77MiB,0.09,8.89GB,8.88GB
1776930486.396900809,tbench-ch-probe,8.66,113MiB,0.71,4.24MB,8.97GB
1776930486.396900809,tbench-ch-origin,26.30,9.488MiB,0.06,8.55GB,17.2MB
1776930489.967418627,tbench-ch-server,70.69,116.1MiB,22.67,10.1GB,9.98GB
1776930489.967418627,tbench-ch-client,192.98,13.58MiB,0.09,9.99GB,9.98GB
1776930489.967418627,tbench-ch-probe,8.02,113.3MiB,0.71,4.76MB,10.1GB
1776930489.967418627,tbench-ch-origin,26.06,9.645MiB,0.06,9.65GB,19.4MB
1776930493.544630878,tbench-ch-server,69.78,116.5MiB,22.76,10.9GB,10.8GB
