ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930292.135071543,tbench-wg-server,0.00,520KiB,0.10,337MB,350MB
1776930292.135071543,tbench-wg-client,0.00,512KiB,0.00,351MB,332MB
1776930292.135071543,tbench-wg-probe,5.36,66.15MiB,0.41,2.88MB,333MB
1776930292.135071543,tbench-wg-origin,38.27,9.691MiB,0.06,159MB,1.47MB
1776930295.717416608,tbench-wg-server,0.00,520KiB,0.10,937MB,990MB
1776930295.717416608,tbench-wg-client,0.00,512KiB,0.00,991MB,937MB
1776930295.717416608,tbench-wg-probe,4.48,77.3MiB,0.48,7.77MB,924MB
1776930295.717416608,tbench-wg-origin,38.21,9.879MiB,0.06,745MB,6.32MB
1776930299.348866580,tbench-wg-server,0.00,520KiB,0.10,1.52GB,1.62GB
1776930299.348866580,tbench-wg-client,0.00,512KiB,0.00,1.45GB,1.37GB
1776930299.348866580,tbench-wg-probe,4.04,86.11MiB,0.54,12.7MB,1.5GB
1776930299.348866580,tbench-wg-origin,38.23,10.21MiB,0.06,1.5GB,12.7MB
1776930302.960680479,tbench-wg-server,0.00,520KiB,0.10,1.94GB,2.07GB
1776930302.960680479,tbench-wg-client,0.00,512KiB,0.00,2.23GB,2.11GB
1776930302.960680479,tbench-wg-probe,4.10,87.2MiB,0.55,17.5MB,2.05GB
1776930302.960680479,tbench-wg-origin,37.50,10.34MiB,0.06,2.07GB,17.5MB
1776930306.581290482,tbench-wg-server,0.00,520KiB,0.10,2.64GB,2.82GB
1776930306.581290482,tbench-wg-client,0.00,512KiB,0.00,2.63GB,2.49GB
1776930306.581290482,tbench-wg-probe,4.06,92.12MiB,0.58,22.1MB,2.59GB
1776930306.581290482,tbench-wg-origin,37.03,9.988MiB,0.06,2.62GB,22.1MB
1776930310.214877408,tbench-wg-server,0.00,520KiB,0.10,3.24GB,3.47GB
1776930310.214877408,tbench-wg-client,0.00,512KiB,0.00,3.47GB,3.28GB
1776930310.214877408,tbench-wg-probe,4.26,94.91MiB,0.59,25.6MB,3.02GB
1776930310.214877408,tbench-wg-origin,36.51,10.49MiB,0.07,3.23GB,26.9MB
1776930313.834507293,tbench-wg-server,0.00,520KiB,0.10,3.84GB,4.11GB
1776930313.834507293,tbench-wg-client,0.00,512KiB,0.00,4.11GB,3.89GB
1776930313.834507293,tbench-wg-probe,4.05,95.74MiB,0.60,31.8MB,3.77GB
1776930313.834507293,tbench-wg-origin,36.60,10.48MiB,0.07,3.66GB,30.4MB
1776930317.442899448,tbench-wg-server,0.00,520KiB,0.10,4.44GB,4.76GB
1776930317.442899448,tbench-wg-client,0.00,512KiB,0.00,4.76GB,4.51GB
1776930317.442899448,tbench-wg-probe,4.10,90.36MiB,0.57,36.6MB,4.36GB
1776930317.442899448,tbench-wg-origin,36.30,10.46MiB,0.07,4.27GB,35.4MB
1776930321.051155971,tbench-wg-server,0.00,520KiB,0.10,5.01GB,5.38GB
1776930321.051155971,tbench-wg-client,0.00,512KiB,0.00,5.38GB,5.09GB
1776930321.051155971,tbench-wg-probe,4.00,96.33MiB,0.60,41.3MB,4.92GB
1776930321.051155971,tbench-wg-origin,33.61,10.23MiB,0.06,4.84GB,40MB
1776930324.678477617,tbench-wg-server,0.00,520KiB,0.10,5.42GB,5.83GB
1776930324.678477617,tbench-wg-client,0.00,512KiB,0.00,6.01GB,5.69GB
1776930324.678477617,tbench-wg-probe,4.19,100.1MiB,0.63,46MB,5.5GB
1776930324.678477617,tbench-wg-origin,36.48,10.2MiB,0.06,5.59GB,46MB
1776930328.283700750,tbench-wg-server,0.00,520KiB,0.10,6.2GB,6.66GB
1776930328.283700750,tbench-wg-client,0.00,512KiB,0.00,6.67GB,6.3GB
1776930328.283700750,tbench-wg-probe,4.04,99.22MiB,0.62,50.9MB,6.1GB
1776930328.283700750,tbench-wg-origin,35.93,10.05MiB,0.06,6.04GB,49.5MB
1776930331.911059903,tbench-wg-server,0.00,520KiB,0.10,6.82GB,7.33GB
1776930331.911059903,tbench-wg-client,0.00,512KiB,0.00,7.33GB,6.93GB
1776930331.911059903,tbench-wg-probe,4.15,102.6MiB,0.64,55.8MB,6.7GB
1776930331.911059903,tbench-wg-origin,36.61,10.65MiB,0.07,6.65GB,54.5MB
1776930335.528997886,tbench-wg-server,0.00,520KiB,0.10,7.42GB,7.97GB
1776930335.528997886,tbench-wg-client,0.00,512KiB,0.00,7.97GB,7.54GB
1776930335.528997886,tbench-wg-probe,4.18,102.4MiB,0.64,59.2MB,7.13GB
1776930335.528997886,tbench-wg-origin,35.64,10.3MiB,0.06,7.42GB,60.5MB
1776930339.167895943,tbench-wg-server,0.00,520KiB,0.10,8.06GB,8.66GB
1776930339.167895943,tbench-wg-client,0.00,512KiB,0.00,8.66GB,8.19GB
1776930339.167895943,tbench-wg-probe,4.01,100.8MiB,0.63,65.6MB,7.92GB
1776930339.167895943,tbench-wg-origin,36.63,10.12MiB,0.06,7.87GB,64.1MB
1776930342.766502832,tbench-wg-server,0.00,520KiB,0.10,8.69GB,9.35GB
1776930342.766502832,tbench-wg-client,0.00,512KiB,0.00,9.35GB,8.84GB
1776930342.766502832,tbench-wg-probe,4.53,104.7MiB,0.66,70.5MB,8.55GB
1776930342.766502832,tbench-wg-origin,36.13,10.29MiB,0.06,8.52GB,69.2MB
1776930346.388253984,tbench-wg-server,0.00,520KiB,0.10,9.33GB,10GB
1776930346.388253984,tbench-wg-client,0.00,512KiB,0.00,9.84GB,9.3GB
1776930346.388253984,tbench-wg-probe,3.99,103.6MiB,0.65,75.5MB,9.17GB
1776930346.388253984,tbench-wg-origin,36.58,10.25MiB,0.06,9.33GB,75.5MB
1776930350.006549286,tbench-wg-server,0.00,520KiB,0.10,9.93GB,10.7GB
1776930350.006549286,tbench-wg-client,0.00,512KiB,0.00,10.7GB,10.1GB
1776930350.006549286,tbench-wg-probe,3.79,107.1MiB,0.67,80.4MB,9.77GB
1776930350.006549286,tbench-wg-origin,36.44,10.95MiB,0.07,9.78GB,79.1MB
