ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776931026.737792230,tbench-bo-server,12.73,3.105MiB,0.61,6.68MB,6.67MB
1776931026.737792230,tbench-bo-client,16.39,8.449MiB,0.05,3.03MB,2.92MB
1776931026.737792230,tbench-bo-probe,0.00,388KiB,0.00,1.36kB,126B
1776931030.291839387,tbench-bo-server,12.10,3.355MiB,0.66,20.2MB,20.1MB
1776931030.291839387,tbench-bo-client,15.89,7.953MiB,0.05,16.7MB,16.2MB
1776931030.291839387,tbench-bo-probe,0.00,388KiB,0.00,1.48kB,126B
1776931033.832364415,tbench-bo-server,12.47,3.109MiB,0.61,29.6MB,29.6MB
1776931033.832364415,tbench-bo-client,17.15,8.18MiB,0.05,34.1MB,33.2MB
1776931033.832364415,tbench-bo-probe,0.00,388KiB,0.00,1.48kB,126B
1776931037.379792772,tbench-bo-server,14.16,3.113MiB,0.61,47MB,47MB
1776931037.379792772,tbench-bo-client,18.00,6.145MiB,0.04,44MB,42.8MB
1776931037.379792772,tbench-bo-probe,0.00,388KiB,0.00,1.55kB,126B
1776931040.924025153,tbench-bo-server,15.19,3.352MiB,0.65,60.5MB,60.5MB
1776931040.924025153,tbench-bo-client,20.17,6.145MiB,0.04,61.8MB,60.1MB
1776931040.924025153,tbench-bo-probe,0.00,388KiB,0.00,1.55kB,126B
1776931044.471131877,tbench-bo-server,12.23,3.109MiB,0.61,73.6MB,73.6MB
1776931044.471131877,tbench-bo-client,17.71,6.145MiB,0.04,71.3MB,69.4MB
1776931044.471131877,tbench-bo-probe,0.00,388KiB,0.00,1.55kB,126B
1776931048.030312737,tbench-bo-server,12.35,3.371MiB,0.66,83.2MB,83.2MB
1776931048.030312737,tbench-bo-client,17.48,6.273MiB,0.04,88.7MB,86.3MB
1776931048.030312737,tbench-bo-probe,0.00,388KiB,0.00,1.55kB,126B
1776931051.582584406,tbench-bo-server,11.52,3.32MiB,0.65,99.9MB,99.9MB
1776931051.582584406,tbench-bo-client,15.31,7.27MiB,0.05,102MB,99.2MB
1776931051.582584406,tbench-bo-probe,0.00,388KiB,0.00,1.55kB,126B
1776931055.133219083,tbench-bo-server,12.30,2.109MiB,0.41,113MB,113MB
1776931055.133219083,tbench-bo-client,16.55,6.34MiB,0.04,115MB,112MB
1776931055.133219083,tbench-bo-probe,0.00,388KiB,0.00,1.55kB,126B
1776931058.686536969,tbench-bo-server,50.94,7.871MiB,1.54,961MB,956MB
1776931058.686536969,tbench-bo-client,47.31,12.43MiB,0.08,692MB,692MB
1776931058.686536969,tbench-bo-probe,0.00,388KiB,0.00,1.78kB,126B
1776931062.249266923,tbench-bo-server,51.43,8.344MiB,1.63,1.92GB,1.91GB
1776931062.249266923,tbench-bo-client,49.95,14.09MiB,0.09,1.9GB,1.9GB
1776931062.249266923,tbench-bo-probe,0.00,388KiB,0.00,1.78kB,126B
1776931065.811578681,tbench-bo-server,51.04,9.82MiB,1.92,2.88GB,2.87GB
1776931065.811578681,tbench-bo-client,49.11,13.78MiB,0.09,2.85GB,2.86GB
1776931065.811578681,tbench-bo-probe,0.00,388KiB,0.00,1.78kB,126B
1776931069.371118690,tbench-bo-server,51.05,8.93MiB,1.74,3.81GB,3.8GB
1776931069.371118690,tbench-bo-client,48.08,12.79MiB,0.08,3.77GB,3.79GB
1776931069.371118690,tbench-bo-probe,0.00,388KiB,0.00,1.78kB,126B
1776931072.927172834,tbench-bo-server,51.92,8.066MiB,1.58,4.52GB,4.51GB
1776931072.927172834,tbench-bo-client,51.74,13.29MiB,0.08,4.74GB,4.77GB
1776931072.927172834,tbench-bo-probe,0.00,388KiB,0.00,1.78kB,126B
1776931076.483931947,tbench-bo-server,51.06,9.613MiB,1.88,5.77GB,5.76GB
1776931076.483931947,tbench-bo-client,49.15,12.91MiB,0.08,5.7GB,5.74GB
1776931076.483931947,tbench-bo-probe,0.00,388KiB,0.00,1.78kB,126B
1776931080.039698103,tbench-bo-server,51.82,8.887MiB,1.74,6.72GB,6.71GB
1776931080.039698103,tbench-bo-client,50.79,12.77MiB,0.08,6.64GB,6.68GB
1776931080.039698103,tbench-bo-probe,0.00,388KiB,0.00,1.78kB,126B
1776931083.602048761,tbench-bo-server,51.28,6.855MiB,1.34,7.4GB,7.38GB
1776931083.602048761,tbench-bo-client,47.97,12.85MiB,0.08,7.55GB,7.6GB
1776931083.602048761,tbench-bo-probe,0.00,388KiB,0.00,1.78kB,126B
1776931087.160325867,tbench-bo-server,0.04,2.258MiB,0.44,8.1GB,8.09GB
1776931087.160325867,tbench-bo-client,0.18,7.062MiB,0.04,8GB,8.06GB
1776931087.160325867,tbench-bo-probe,0.00,388KiB,0.00,1.78kB,126B
